campaign_id,campaign_name,platform,campaign_type,objective,start_date,end_date,status,daily_budget,total_spend,impressions,clicks,ctr,cpc,conversions,conversion_rate,cost_per_conversion,revenue,roas,target_audience,ad_format
CAMP_0001,Flash Sale - Eco Accessories - Sep2025,Instagram Ads,Flash Sale,Traffic,2025-09-19,2025-10-05,Completed,4355,69689.37,490944,8845,1.8,7.89,143,1.63,487.27,144859.0,2.08,Eco-conscious Millennials,Collection
CAMP_0002,Product Launch - Eco Accessories - Oct2025,Instagram Ads,Product Launch,Conversions,2025-10-14,2025-10-23,Completed,3963,35667.0,170333,3066,1.8,11.63,90,2.94,396.3,219420.0,6.15,"Gen Z, Urban Areas",Stories
CAMP_0003,Flash Sale - Organic Footwear - Oct2025,Instagram Ads,Flash Sale,Conversions,2025-10-30,2025-11-18,Completed,3857,73286.5,324388,5849,1.8,12.55,124,2.13,590.99,216008.0,2.95,"Gen Z, Urban Areas",Single Image
CAMP_0007,Flash Sale - Organic Footwear - Oct2025,Instagram Ads,Flash Sale,Engagement,2025-10-17,2025-11-04,Completed,3708,66745.97,287111,5176,1.8,12.91,115,2.23,580.38,98900.0,1.48,"Premium Shoppers, Age 30-45",Carousel
CAMP_0010,Influencer Collaboration - Organic Footwear - Sep2025,Instagram Ads,Influencer Collaboration,Engagement,2025-09-25,2025-10-14,Completed,4082,77558.0,484111,8714,1.8,8.9,267,3.07,290.48,460575.0,5.94,"Men 28-40, Tier 1 & 2 Cities",Single Image
CAMP_0014,Flash Sale - Sustainable Clothing - Oct2025,Instagram Ads,Flash Sale,Conversions,2025-10-16,2025-11-06,Completed,4479,94096.71,424777,7680,1.8,12.3,141,1.84,667.09,268041.0,2.85,"Men 28-40, Tier 1 & 2 Cities",Collection
CAMP_0017,Festive Campaign - Green Living - Sep2025,Instagram Ads,Festive Campaign,Traffic,2025-09-24,2025-10-01,Completed,3301,23121.72,147222,2660,1.8,8.72,84,3.19,275.08,227220.0,9.83,"Men 28-40, Tier 1 & 2 Cities",Video
CAMP_0020,Product Launch - Eco Accessories - Oct2025,Instagram Ads,Product Launch,Conversions,2025-10-15,2025-11-09,Completed,4791,119793.29,763995,13982,1.8,8.71,381,2.77,315.2,329481.62,2.75,Eco-conscious Millennials,Carousel
CAMP_0026,Influencer Collaboration - Organic Footwear - Nov2025,Instagram Ads,Influencer Collaboration,Brand Awareness,2025-11-06,2025-11-22,Completed,4839,77432.17,409555,7714,1.8,10.5,232,3.16,333.72,196272.0,2.54,"Premium Shoppers, Age 30-45",Single Image
CAMP_0028,Influencer Collaboration - Green Living - Nov2025,Instagram Ads,Influencer Collaboration,Traffic,2025-11-05,2025-12-01,Completed,3351,87138.72,504722,9094,1.8,9.59,168,1.85,518.61,254352.0,2.92,"Women 25-35, Metro Cities",Stories
CAMP_0029,Influencer Collaboration - Organic Footwear - Nov2025,Instagram Ads,Influencer Collaboration,Traffic,2025-11-02,2025-12-01,Completed,643,18653.06,119222,2444,1.8,8.69,32,1.52,582.72,67616.0,3.63,Eco-conscious Millennials,Collection
CAMP_0031,Flash Sale - Organic Footwear - Sep2025,Instagram Ads,Flash Sale,Engagement,2025-09-23,2025-10-23,Completed,4910,147328.11000000002,1075722,19829,1.8,7.61,353,1.83,417.28,1149368.0,7.8,Eco-conscious Millennials,Video
CAMP_0035,Flash Sale - Organic Footwear - Nov2025,Instagram Ads,Flash Sale,Conversions,2025-11-02,2025-11-15,Completed,785,10217.06,77666,1408,1.8,7.3,27,1.99,377.96,53514.0,5.24,"Women 25-35, Metro Cities",Collection
CAMP_0042,Festive Campaign - Organic Footwear - Sep2025,Instagram Ads,Festive Campaign,Traffic,2025-09-18,2025-10-10,Completed,3997,87963.37000000001,539048,9728,1.8,9.06,197,2.02,448.64,390920.78,4.44,"Premium Shoppers, Age 30-45",Collection
CAMP_0048,Influencer Collaboration - Sustainable Clothing - Oct2025,Instagram Ads,Influencer Collaboration,Conversions,2025-10-11,2025-11-09,Completed,3856,111838.48,640287,11525,1.8,9.71,395,3.42,283.82,598767.36,5.35,"Premium Shoppers, Age 30-45",Single Image
