campaign_id,campaign_name,platform,campaign_type,objective,start_date,end_date,status,daily_budget,total_spend,impressions,clicks,ctr,cpc,conversions,conversion_rate,cost_per_conversion,revenue,roas,target_audience,ad_format
CAMP_0009,Brand Awareness - Green Living - Nov2025,Google Ads,Brand Awareness,Conversions,2025-11-07,2025-11-27,Completed,2833,56666.97,174519,4894,2.8,11.61,113,2.33,501.42,211423.0,3.73,Eco-conscious Millennials,Single Image
CAMP_0012,Festive Campaign - Organic Footwear - Nov2025,Google Ads,Festive Campaign,Brand Awareness,2025-11-27,2025-12-17,Active,1772,21280.23,69936,1974,2.8,10.88,78,3.96,276.16,219152.75,10.29,"Gen Z, Urban Areas",Carousel
CAMP_0013,Influencer Collaboration - Green Living - Oct2025,Google Ads,Influencer Collaboration,Traffic,2025-10-02,2025-10-31,Completed,2953,85645.39,273357,7667,2.8,11.19,196,2.56,436.92,178360.0,2.08,"Premium Shoppers, Age 30-45",Single Image
CAMP_0015,Festive Campaign - Eco Accessories - Nov2025,Google Ads,Festive Campaign,Engagement,2025-11-02,2025-11-14,Completed,2059,24714.45,74142,2084,2.8,11.9,42,2.04,588.29,97692.0,3.95,"Gen Z, Urban Areas",Carousel
CAMP_0016,Festive Campaign - Sustainable Clothing - Nov2025,Google Ads,Festive Campaign,Traffic,2025-11-08,2025-11-29,Completed,4302,90345.22,229107,6421,2.8,14.08,156,2.44,579.12,156312.0,1.73,"Men 28-40, Tier 1 & 2 Cities",Stories
CAMP_0022,Product Launch - Eco Accessories - Oct2025,Google Ads,Product Launch,Conversions,2025-10-23,2025-10-31,Completed,3027,24232.39,49500,1613,2.8,17.47,41,3.0,590.63,95366.0,3.94,Eco-conscious Millennials,Video
CAMP_0030,Product Launch - Sustainable Clothing - Nov2025,Google Ads,Product Launch,Traffic,2025-11-02,2025-11-19,Completed,4596,78164.11,165981,5103,2.8,16.83,174,3.74,451.63,252171.75,3.22,"Premium Shoppers, Age 30-45",Single Image
CAMP_0032,Flash Sale - Eco Accessories - Oct2025,Google Ads,Flash Sale,Traffic,2025-10-29,2025-11-14,Completed,4154,66488.16,216928,6095,2.8,10.94,222,3.67,299.39,731046.0,11.0,"Premium Shoppers, Age 30-45",Collection
CAMP_0034,Brand Awareness - Green Living - Sep2025,Google Ads,Brand Awareness,Engagement,2025-09-16,2025-10-05,Completed,3791,72069.34999999999,222285,6283,2.8,11.57,121,1.95,595.28,251438.0,3.49,Eco-conscious Millennials,Video
CAMP_0038,Festive Campaign - Eco Accessories - Nov2025,Google Ads,Festive Campaign,Engagement,2025-11-29,2025-12-28,Active,2306,23068.53,44428,1257,2.8,18.54,26,2.11,886.92,65364.0,2.83,"Gen Z, Urban Areas",Carousel
CAMP_0039,Flash Sale - Sustainable Clothing - Oct2025,Google Ads,Flash Sale,Engagement,2025-10-16,2025-10-26,Completed,1994,19943.17,49607,1399,2.8,14.35,42,3.02,474.76,122808.0,6.16,"Men 28-40, Tier 1 & 2 Cities",Video
CAMP_0040,Product Launch - Sustainable Clothing - Nov2025,Google Ads,Product Launch,Traffic,2025-11-07,2025-12-04,Completed,1883,50852.64,132107,4001,2.8,13.74,137,3.72,371.1,419083.0,8.24,"Gen Z, Urban Areas",Single Image
CAMP_0043,Brand Awareness - Eco Accessories - Oct2025,Google Ads,Brand Awareness,Engagement,2025-10-05,2025-10-24,Completed,4764,90524.32,273214,7916,2.8,11.83,168,2.2,538.79,523824.0,5.79,"Men 28-40, Tier 1 & 2 Cities",Single Image
