post_id,platform,post_type,content,media_type,posted_date,posted_time,impressions,reach,likes,comments,shares,saves,engagement_rate
POST_0001,Facebook,organic,Meet our artisans: The hands behind your favorite Eco Accessories 👐 #Artisan #Handcrafted,image,07-11-2025,05:25:56,32743,20231,1193,125,85,0,6.9
POST_0004,Facebook,organic,Festive season special! Eco Accessories collections ab available 🪔 #DiwaliVibes #Traditional,image,15-10-2025,19:06:30,43148,34616,585,75,36,0,2.01
POST_0010,Facebook,organic,Comfort aur fashion ka perfect mix! Sustainable Clothing collection 👗 #ComfortWear #Stylish,image,07-12-2025,23:50:05,35918,25687,565,56,31,0,2.62
POST_0016,Facebook,organic,Comfort aur fashion ka perfect mix! Organic Footwear collection 👗 #ComfortWear #Stylish,carousel,13-09-2025,21:30:07,36306,24196,1186,113,36,0,5.52
POST_0019,Facebook,organic,Behind the scenes of our Green Living production 📸 #EthicalFashion #Handmade,carousel,20-11-2025,13:46:36,43116,35176,2026,200,61,0,6.61
POST_0021,Facebook,organic,Flat 20% off on all Eco Accessories! Use code: ECO20 🎉 #Discount #ShopNow,carousel,15-10-2025,05:54:29,70089,53860,4596,300,363,0,6.62
POST_0023,Facebook,organic,Festive season special! Sustainable Clothing collections ab available 🪔 #DiwaliVibes #Traditional,carousel,02-10-2025,01:23:28,36083,26716,976,66,39,0,4.18
POST_0028,Facebook,organic,Apne friends ko tag karo! Sustainable Clothing pe offer chal raha hai 🎁 #GiftIdeas #Trending,carousel,16-09-2025,17:41:31,17999,14779,582,68,15,0,4.5
POST_0036,Facebook,organic,New collection launch! Check out our latest Sustainable Clothing 🌿 #Sustainable #EcoFriendly,carousel,03-11-2025,11:52:17,44108,32781,564,27,34,0,1.87
POST_0037,Facebook,organic,Meet our artisans: The hands behind your favorite Green Living 👐 #Artisan #Handcrafted,video,08-11-2025,05:39:23,41500,31418,1403,114,67,0,5.04
POST_0052,Facebook,organic,Meet our artisans: The hands behind your favorite Sustainable Clothing 👐 #Artisan #Handcrafted,image,25-11-2025,23:47:49,46856,38752,1392,158,110,0,4.28
POST_0065,Facebook,organic,Behind the scenes of our Green Living production 📸 #EthicalFashion #Handmade,image,10-11-2025,20:18:56,36456,31447,1567,167,72,0,5.7
POST_0077,Facebook,organic,Behind the scenes of our Green Living production 📸 #EthicalFashion #Handmade,image,18-11-2025,19:12:58,40776,21718,3703,29,590,0,4.67
POST_0078,Facebook,organic,Our commitment to sustainability: Every Eco Accessories saves 10L water 💧 #SustainableChoice,image,09-11-2025,09:27:17,47315,38670,1543,224,73,0,4.76
POST_0079,Facebook,organic,Meet our artisans: The hands behind your favorite Eco Accessories 👐 #Artisan #Handcrafted,image,12-09-2025,06:26:31,53483,46358,2424,309,127,0,6.17
POST_0086,Facebook,organic,Flat 20% off on all Sustainable Clothing! Use code: ECO20 🎉 #Discount #ShopNow,video,14-10-2025,10:04:14,20006,14069,562,74,38,0,4.79
POST_0088,Facebook,organic,Meet our artisans: The hands behind your favorite Organic Footwear 👐 #Artisan #Handcrafted,image,09-12-2025,01:08:13,16937,9990,373,40,18,0,4.56
POST_0103,Facebook,organic,Meet our artisans: The hands behind your favorite Organic Footwear 👐 #Artisan #Handcrafted,image,18-09-2025,18:05:39,39919,25399,1658,27,193,0,1.78
POST_0104,Facebook,organic,Our commitment to sustainability: Every Organic Footwear saves 10L water 💧 #SustainableChoice,image,24-11-2025,10:30:28,63524,43268,1783,242,133,0,5.05
POST_0109,Facebook,organic,Customer love! Thank you for choosing sustainable 💚 #CustomerStory #EcoStyle,image,17-09-2025,08:06:42,43334,31818,1659,215,42,0,6.02
POST_0110,Facebook,organic,Our commitment to sustainability: Every Sustainable Clothing saves 10L water 💧 #SustainableChoice,image,12-09-2025,02:30:12,30304,23387,557,60,17,0,2.71
POST_0115,Facebook,organic,Quality aur style dono! Hamare Sustainable Clothing try karo 👌 #BestQuality #Affordable,video,22-10-2025,07:42:02,19814,17529,386,34,15,0,2.48
POST_0116,Facebook,organic,Meet our artisans: The hands behind your favorite Sustainable Clothing 👐 #Artisan #Handcrafted,image,05-11-2025,12:37:28,30290,18623,1099,118,55,0,6.83
POST_0121,Facebook,organic,Festive season special! Green Living collections ab available 🪔 #DiwaliVibes #Traditional,video,04-10-2025,15:29:24,36176,29623,992,129,26,0,3.88
POST_0127,Facebook,organic,Customer love! Thank you for choosing sustainable 💚 #CustomerStory #EcoStyle,image,13-10-2025,20:07:21,38840,24655,1365,139,40,0,6.26
POST_0131,Facebook,organic,Style guide: How to wear our Sustainable Clothing in 3 different ways 👗 #FashionTips #Sustainable,image,17-11-2025,02:16:02,49107,34306,1637,202,64,0,5.59
POST_0140,Facebook,organic,Behind the scenes of our Eco Accessories production 📸 #EthicalFashion #Handmade,image,18-10-2025,15:58:59,25645,18676,593,87,21,0,3.75
