campaign_id,campaign_name,platform,campaign_type,objective,start_date,end_date,status,daily_budget,total_spend,impressions,clicks,ctr,cpc,conversions,conversion_rate,cost_per_conversion,revenue,roas,target_audience,ad_format
CAMP_0004,Festive Campaign - Green Living - Nov2025,Facebook Ads,Festive Campaign,Conversions,2025-11-10,2025-12-01,Completed,1845,38769.24,301568,4547,1.5,8.57,163,3.62,237.7,327956.0,8.46,"Men 28-40, Tier 1 & 2 Cities",Stories
CAMP_0005,Festive Campaign - Eco Accessories - Sep2025,Facebook Ads,Festive Campaign,Conversions,2025-09-20,2025-10-08,Completed,879,15851.08,154266,2337,1.5,6.84,62,2.7,255.19,74524.0,4.71,"Men 28-40, Tier 1 & 2 Cities",Carousel
CAMP_0006,Influencer Collaboration - Sustainable Clothing - Sep2025,Facebook Ads,Influencer Collaboration,Traffic,2025-09-26,2025-10-25,Completed,885,25673.23,179066,2694,1.5,9.55,86,3.24,298.43,288530.0,11.24,Eco-conscious Millennials,Stories
CAMP_0008,Influencer Collaboration - Eco Accessories - Sep2025,Facebook Ads,Influencer Collaboration,Conversions,2025-09-16,2025-09-30,Completed,1537,21518.0,246866,3703,1.5,5.81,75,2.04,286.91,65700.0,3.05,"Women 25-35, Metro Cities",Video
CAMP_0011,Influencer Collaboration - Sustainable Clothing - Oct2025,Facebook Ads,Influencer Collaboration,Engagement,2025-10-07,2025-10-18,Completed,3246,35709.44,402466,6243,1.5,5.91,136,2.25,262.54,111520.0,3.12,"Men 28-40, Tier 1 & 2 Cities",Stories
CAMP_0018,Influencer Collaboration - Green Living - Oct2025,Facebook Ads,Influencer Collaboration,Conversions,2025-10-07,2025-10-30,Completed,1843,42393.88,476733,7422,1.5,5.93,232,3.25,182.71,317608.0,7.49,Eco-conscious Millennials,Single Image
CAMP_0019,Product Launch - Eco Accessories - Nov2025,Facebook Ads,Product Launch,Brand Awareness,2025-11-28,2025-12-23,Active,3329,36626.79,234733,4210,1.5,10.4,133,3.78,275.33,286216.0,7.82,Eco-conscious Millennials,Stories
CAMP_0021,Influencer Collaboration - Organic Footwear - Oct2025,Facebook Ads,Influencer Collaboration,Conversions,2025-10-19,2025-11-13,Completed,1591,39785.53,253866,3823,1.5,10.44,114,3.0,348.9,104424.0,2.63,"Premium Shoppers, Age 30-45",Carousel
CAMP_0023,Product Launch - Sustainable Clothing - Oct2025,Facebook Ads,Product Launch,Engagement,2025-10-03,2025-11-02,Completed,896,26889.92,172476,2592,1.5,10.4,95,3.68,282.95,330980.0,12.31,"Gen Z, Urban Areas",Video
CAMP_0024,Product Launch - Organic Footwear - Nov2025,Facebook Ads,Product Launch,Engagement,2025-11-19,2025-11-27,Completed,2196,17573.5,159666,2406,1.5,7.33,73,3.08,240.66,108989.0,6.2,"Premium Shoppers, Age 30-45",Collection
CAMP_0025,Influencer Collaboration - Sustainable Clothing - Oct2025,Facebook Ads,Influencer Collaboration,Engagement,2025-10-11,2025-10-23,Completed,1666,20004.12,204800,3087,1.5,6.51,109,3.57,183.41,336810.0,16.85,"Men 28-40, Tier 1 & 2 Cities",Video
CAMP_0027,Product Launch - Sustainable Clothing - Nov2025,Facebook Ads,Product Launch,Engagement,2025-11-19,2025-12-15,Active,2044,40880.0,270266,4054,1.5,10.08,117,2.9,349.4,184041.0,4.5,"Men 28-40, Tier 1 & 2 Cities",Stories
