comment_id,post_id,user_handle,comment_text,timestamp,label,score,platform,language
C_0001,POST_0001,user_123,This is exactly what I was looking for! 💚,2025-11-07 10:00:00,positive,0.8587,Facebook,en
C_0002,POST_0001,user_456,Price is a bit high for me,2025-11-07 11:30:00,negative,0.7429,Facebook,en
C_0003,POST_0002,user_888,Ekdum mast product hai! 👌,2025-11-07 12:00:00,positive,0.6843,Instagram,hinglish
C_0004,POST_0003,user_221,Worst service ever. No reply to my DMs.,2025-11-07 12:15:00,negative,0.9484,Twitter,en
C_0005,POST_0003,user_999,The app keeps crashing when I try to checkout. Very bad experience!,2026-01-03 14:00:00,negative,0.9534,Twitter,en
C_0006,POST_0002,user_444,Delivery was delayed by 2 weeks. I want a refund now.,2026-01-03 14:30:00,negative,0.775,Instagram,en
C_0007,POST_0001,user_111,I received a broken item. Support is not picking up the call.,2026-01-03 15:00:00,negative,0.679,Facebook,en
C_0008,POST_0004,user_777,Does this come in Blue color? Love the design btw.,2026-01-03 15:15:00,positive,0.8432,Facebook,en
C_6086,POST_0001,digital_nomad,"Ekdum mast product hai, fast delivery.",2026-01-03 18:45:50,positive,0.5783,Facebook,hinglish
C_6310,POST_0003,digital_nomad,"Decent product, but packaging could be better.",2026-01-03 18:51:52,positive,0.5841,Twitter,en
C_7324,POST_0002,eco_warrior,"Ekdum mast product hai, fast delivery.",2026-01-04 12:20:56,positive,0.5783,Instagram,hinglish
C_8784,POST_0002,user_682,1. Website crash ruined my order 😡 Fix your servers!,2026-01-04 13:11:32,negative,0.9414,Instagram,en
C_6834,POST_0004,user_444,"2. Received broken items 😠 Unacceptable, replace immediately!",2026-01-04 13:11:32,negative,0.9526,Facebook,en
C_6969,POST_0003,user_231,3. Shipping delay caused missed event 🤬 Refund for inconvenience ASAP.,2026-01-04 13:11:32,negative,0.8186,Twitter,en
C_5065,POST_0001,user_984,"1. OMG, the new sustainable collection is everything I've been waiting for! 🌿♻️ Love this!",2026-01-04 13:35:44,positive,0.9305,Facebook,en
C_8828,POST_0003,user_804,"2. Finally, a brand that cares about the planet as much as I do! 🌎🙌",2026-01-04 13:35:44,positive,0.8204,Twitter,en
C_5905,POST_0002,user_263,3. This collection is giving me life! Can't wait to shop 'til I drop! 💚🛍️,2026-01-04 13:35:44,positive,0.9304,Instagram,en
C_8644,POST_0003,user_446,4. Sustainable fashion goals! My closet is about to get a major upgrade. 🌱💃,2026-01-04 13:35:44,positive,0.9077,Twitter,en
C_8263,POST_0001,user_200,"5. Eek, so excited for this eco-friendly goodness! It's about time! 🌿🎉",2026-01-04 13:35:44,positive,0.9288,Facebook,en
