post_id,platform,post_type,content,media_type,posted_date,posted_time,impressions,reach,likes,comments,shares,saves,engagement_rate
POST_0005,LinkedIn,organic,Festive season special! Eco Accessories collections ab available 🪔 #DiwaliVibes #Traditional,image,05-12-2025,14:45:27,7777,4764,346,47,17,0,8.61
POST_0007,LinkedIn,organic,Limited time offer on Sustainable Clothing! Shop now ⚡ #Sale #SustainableLiving,carousel,17-11-2025,08:46:13,13184,9096,465,24,16,0,5.55
POST_0008,LinkedIn,organic,Customer reviews dekho! Sab log khush hai hamare Green Living se 💚 #HappyCustomers,image,01-11-2025,20:55:34,11107,8269,609,76,34,0,8.66
POST_0009,LinkedIn,organic,New collection launch! Check out our latest Organic Footwear 🌿 #Sustainable #EcoFriendly,video,09-12-2025,11:50:16,15379,11501,800,66,50,0,7.96
POST_0011,LinkedIn,organic,Customer reviews dekho! Sab log khush hai hamare Sustainable Clothing se 💚 #HappyCustomers,image,11-09-2025,16:57:07,18132,14208,500,30,24,0,3.88
POST_0018,LinkedIn,organic,Weekend vibes with Green Living ☀️ #WeekendStyle #SustainableFashion,image,30-09-2025,16:32:07,17049,15103,695,41,34,0,5.1
POST_0020,LinkedIn,organic,New collection launch! Check out our latest Organic Footwear 🌿 #Sustainable #EcoFriendly,carousel,15-09-2025,16:24:41,21173,15511,480,27,37,0,3.47
POST_0025,LinkedIn,organic,New collection launch! Check out our latest Sustainable Clothing 🌿 #Sustainable #EcoFriendly,image,02-11-2025,21:35:30,12276,10582,674,69,24,0,8.02
POST_0027,LinkedIn,organic,Yeh Sustainable Clothing ekdum perfect hai summer ke liye! ☀️ #FashionGoals #EcoStyle,image,15-11-2025,21:19:19,24046,16997,803,88,60,0,5.6
POST_0029,LinkedIn,organic,Weekend vibes with Green Living ☀️ #WeekendStyle #SustainableFashion,image,05-10-2025,19:03:05,21538,14327,944,48,44,0,7.18
POST_0032,LinkedIn,organic,Meet our artisans: The hands behind your favorite Sustainable Clothing 👐 #Artisan #Handcrafted,carousel,13-10-2025,00:27:34,24043,17637,820,53,44,0,5.1
POST_0039,LinkedIn,organic,Weekend vibes with Green Living ☀️ #WeekendStyle #SustainableFashion,video,17-10-2025,11:54:13,12736,8603,423,25,15,0,5.86
POST_0042,LinkedIn,organic,Sale sale sale! Organic Footwear pe flat 30% off 🎊 #Dhamaka #Shopping,video,23-10-2025,19:11:41,27853,24466,2061,288,82,0,9.89
POST_0044,LinkedIn,organic,Quality aur style dono! Hamare Green Living try karo 👌 #BestQuality #Affordable,video,26-11-2025,18:47:50,20279,14053,1006,140,71,0,8.66
POST_0048,LinkedIn,organic,Comfort aur fashion ka perfect mix! Sustainable Clothing collection 👗 #ComfortWear #Stylish,carousel,19-09-2025,02:48:41,18353,13925,450,40,27,0,3.89
POST_0053,LinkedIn,organic,Yeh Eco Accessories ekdum perfect hai summer ke liye! ☀️ #FashionGoals #EcoStyle,image,30-09-2025,05:38:50,25628,16628,1230,88,75,0,8.38
POST_0056,LinkedIn,organic,Flat 20% off on all Green Living! Use code: ECO20 🎉 #Discount #ShopNow,carousel,05-10-2025,21:17:49,8899,7278,495,72,21,0,8.08
POST_0057,LinkedIn,organic,Limited time offer on Eco Accessories! Shop now ⚡ #Sale #SustainableLiving,video,08-10-2025,00:13:08,23928,20324,368,34,29,0,2.12
POST_0058,LinkedIn,organic,Style guide: How to wear our Organic Footwear in 3 different ways 👗 #FashionTips #Sustainable,video,11-09-2025,13:34:59,26397,23261,1735,194,63,0,8.54
POST_0059,LinkedIn,organic,Our commitment to sustainability: Every Green Living saves 10L water 💧 #SustainableChoice,image,30-09-2025,08:53:48,26643,21395,830,107,47,0,4.6
POST_0060,LinkedIn,organic,Flat 20% off on all Sustainable Clothing! Use code: ECO20 🎉 #Discount #ShopNow,carousel,23-09-2025,00:21:43,33631,23141,2822,73,374,0,4.58
POST_0066,LinkedIn,organic,Customer love! Thank you for choosing sustainable 💚 #CustomerStory #EcoStyle,carousel,09-12-2025,11:19:50,15295,8463,2611,51,128,0,9.93
POST_0067,LinkedIn,organic,Limited time offer on Green Living! Shop now ⚡ #Sale #SustainableLiving,video,28-09-2025,23:46:02,19763,12684,1618,23,329,0,3.59
POST_0080,LinkedIn,organic,New collection launch! Check out our latest Eco Accessories 🌿 #Sustainable #EcoFriendly,image,16-11-2025,14:49:48,25920,20150,1449,205,92,0,9.28
POST_0084,LinkedIn,organic,Flat 20% off on all Organic Footwear! Use code: ECO20 🎉 #Discount #ShopNow,video,27-10-2025,10:39:29,26126,19462,380,44,12,0,2.18
POST_0089,LinkedIn,organic,Customer reviews dekho! Sab log khush hai hamare Sustainable Clothing se 💚 #HappyCustomers,video,17-10-2025,00:36:51,16441,12446,832,111,41,0,7.91
POST_0101,LinkedIn,organic,Style guide: How to wear our Organic Footwear in 3 different ways 👗 #FashionTips #Sustainable,video,13-09-2025,15:04:22,26693,15786,468,53,10,0,3.53
POST_0102,LinkedIn,organic,Limited time offer on Sustainable Clothing! Shop now ⚡ #Sale #SustainableLiving,carousel,04-10-2025,13:48:43,23955,18584,646,49,25,0,3.98
POST_0106,LinkedIn,organic,Sale sale sale! Eco Accessories pe flat 30% off 🎊 #Dhamaka #Shopping,video,26-10-2025,22:56:49,20054,13579,1070,134,50,0,9.23
POST_0108,LinkedIn,organic,Customer love! Thank you for choosing sustainable 💚 #CustomerStory #EcoStyle,carousel,23-10-2025,05:14:24,8422,5814,456,52,15,0,8.8
POST_0117,LinkedIn,organic,Limited time offer on Organic Footwear! Shop now ⚡ #Sale #SustainableLiving,image,24-10-2025,03:34:04,24151,15364,2385,26,287,0,3.07
POST_0129,LinkedIn,organic,Flat 20% off on all Sustainable Clothing! Use code: ECO20 🎉 #Discount #ShopNow,image,07-10-2025,15:08:11,19096,15682,1008,127,75,0,7.72
POST_0136,LinkedIn,organic,Apne friends ko tag karo! Eco Accessories pe offer chal raha hai 🎁 #GiftIdeas #Trending,image,14-11-2025,19:48:28,24324,17181,1164,139,61,0,7.94
POST_0137,LinkedIn,organic,Behind the scenes of our Eco Accessories production 📸 #EthicalFashion #Handmade,image,16-11-2025,08:43:08,24720,20604,1378,155,101,0,7.93
POST_0144,LinkedIn,organic,Weekend vibes with Green Living ☀️ #WeekendStyle #SustainableFashion,video,15-09-2025,16:11:43,26554,16047,906,133,48,0,6.77
POST_0147,LinkedIn,organic,This week's bestseller: Our iconic Sustainable Clothing is back in stock! 🔥 #Trending #EcoFashion,image,14-09-2025,03:52:57,24099,15880,1258,166,38,0,9.21
