post_id,platform,post_type,content,media_type,posted_date,posted_time,impressions,reach,likes,comments,shares,saves,engagement_rate
POST_0002,Instagram,organic,Quality aur style dono! Hamare Sustainable Clothing try karo 👌 #BestQuality #Affordable,image,07-11-2025,19:56:13,81260,72015,5496,638,341,1304,8.99
POST_0012,Instagram,organic,Quality aur style dono! Hamare Green Living try karo 👌 #BestQuality #Affordable,video,24-09-2025,20:30:18,52435,46811,5166,374,184,1195,12.23
POST_0013,Instagram,organic,Customer love! Thank you for choosing sustainable 💚 #CustomerStory #EcoStyle,image,24-10-2025,01:04:06,55111,41110,2106,170,152,438,5.91
POST_0014,Instagram,organic,Limited stock! Jaldi order karo Green Living ⚡ #LimitedEdition #HurryUp,carousel,14-09-2025,01:26:54,28117,18133,1559,220,55,238,10.12
POST_0015,Instagram,organic,Weekend plans? Shopping karo with flat 25% off 🛍️ #WeekendSale #EcoFriendly,image,25-10-2025,02:01:36,32773,21506,1357,109,105,221,7.3
POST_0017,Instagram,organic,Customer love! Thank you for choosing sustainable 💚 #CustomerStory #EcoStyle,video,17-10-2025,15:24:00,35510,25394,1682,123,132,282,7.63
POST_0031,Instagram,organic,Behind the scenes of our Eco Accessories production 📸 #EthicalFashion #Handmade,video,19-11-2025,22:00:00,58898,49365,2247,294,158,437,5.47
POST_0033,Instagram,organic,Limited time offer on Green Living! Shop now ⚡ #Sale #SustainableLiving,image,27-09-2025,14:55:58,49966,33174,2131,311,137,259,7.77
POST_0035,Instagram,organic,Customer love! Thank you for choosing sustainable 💚 #CustomerStory #EcoStyle,carousel,03-12-2025,00:51:47,38613,26479,1689,225,54,267,7.39
POST_0038,Instagram,organic,Behind the scenes of our Organic Footwear production 📸 #EthicalFashion #Handmade,image,18-11-2025,18:08:32,82801,64031,7161,984,433,1663,13.4
POST_0043,Instagram,organic,Behind the scenes of our Sustainable Clothing production 📸 #EthicalFashion #Handmade,carousel,08-11-2025,07:30:38,45159,37450,2794,417,128,426,8.92
POST_0046,Instagram,organic,Customer love! Thank you for choosing sustainable 💚 #CustomerStory #EcoStyle,video,08-11-2025,16:28:19,51808,43851,4448,486,131,622,11.52
POST_0047,Instagram,organic,New collection launch! Check out our latest Eco Accessories 🌿 #Sustainable #EcoFriendly,carousel,07-10-2025,06:04:06,28445,17391,1014,54,34,102,6.34
POST_0049,Instagram,organic,Yeh Eco Accessories ekdum perfect hai summer ke liye! ☀️ #FashionGoals #EcoStyle,video,26-11-2025,07:53:59,54959,34183,2729,404,85,616,9.41
POST_0051,Instagram,organic,Customer love! Thank you for choosing sustainable 💚 #CustomerStory #EcoStyle,carousel,25-09-2025,02:45:56,60917,46382,1399,145,64,273,3.47
POST_0061,Instagram,organic,Sale sale sale! Eco Accessories pe flat 30% off 🎊 #Dhamaka #Shopping,image,01-10-2025,15:29:32,57162,41770,1069,53,31,208,2.72
